evidence_id,source_type,observed_at,source_url,immutable_source_id,subject_contact_id,subject_account_id,confidence,cache_key,source_ref,source_metadata_json
evidence-job-harbor,job,2026-07-20T12:00:00+00:00,https://harbor-systems.example/jobs/gtm-engineer,,open_role_harbor_gtm,harbor-systems.example,high,fixture:job:harbor-gtm,fixture,"{""permissionless_value"":""Map the routing handoffs around the open GTM Engineer role."",""why_target_cares"":""Harbor is adding technical GTM capacity while its operating model is still forming.""}"
evidence-post-harbor,post,2026-07-22T15:00:00+00:00,https://harbor-systems.example/posts/operating-data,,contact-harbor-bizops,harbor-systems.example,high,fixture:post:harbor-ops,fixture,{}
evidence-post-northstar,post,2026-07-25T13:00:00+00:00,https://northstar-ai.example/posts/revenue-routing,,contact-northstar-revops,northstar-ai.example,high,fixture:post:northstar-routing,fixture,"{""permissionless_value"":""Sketch a sample audit of Northstar's lead-routing decision points."",""why_target_cares"":""Northstar is publishing about revenue routing while expanding GTM engineering.""}"
evidence-talk-relay,talk,2026-06-11T17:00:00+00:00,https://events.example/talks/relay-revenue-systems,,contact-relay-revops,relay-cloud.example,high,fixture:talk:relay-systems,fixture,"{""permissionless_value"":""Prototype a compact exception taxonomy from the talk's public examples."",""why_target_cares"":""Relay is standardizing revenue systems as its infrastructure business grows.""}"
evidence-intro,interaction,2026-06-18T14:30:00+00:00,,crm-intro-example-001,contact-northstar-gtm,northstar-ai.example,confirmed,fixture:interaction:intro,fixture,{}
evidence-relay-call,interaction,2026-05-09T16:00:00+00:00,,call-example-002,contact-relay-revops,relay-cloud.example,confirmed,fixture:interaction:relay-call,fixture,{}
evidence-northstar-form,interaction,2026-07-02T19:15:00+00:00,,form-example-003,contact-northstar-revops,northstar-ai.example,confirmed,fixture:interaction:northstar-form,fixture,{}
evidence-owner-work,interaction,2026-04-14T18:00:00+00:00,,owner-relationship-example-004,connector-work,,confirmed,fixture:interaction:owner-work,fixture,{}
evidence-owner-nonoverlap,interaction,2025-11-03T18:00:00+00:00,,owner-relationship-example-005,connector-nonoverlap,,medium,fixture:interaction:owner-nonoverlap,fixture,{}
evidence-investor,public_profile,2026-07-10T12:00:00+00:00,https://example-seed.example/portfolio/northstar-ai,,connector-investor,northstar-ai.example,high,fixture:investor:northstar,fixture,{}
